case_criminal_id,case_id,criminal_id,role_in_case
1,1,515,Victim
2,1,81,Suspect
3,1,2336,Complainant
4,2,1202,Suspect
5,2,1714,Co-accused
6,2,617,Expert Witness
7,3,499,Accused
8,3,4727,Co-accused
9,3,916,Expert Witness
10,4,4117,Witness
11,4,1730,Accused
12,4,2744,Accused
13,5,2556,Accused
14,5,286,Accused
15,5,2463,Co-accused
16,6,3405,Complainant
17,6,4107,Accused
18,7,1982,Victim
19,7,2431,Victim
20,7,776,Accused
21,7,2731,Expert Witness
22,8,2460,Victim
23,8,4517,Witness
24,9,1446,Complainant
25,9,4045,Accused
26,10,4275,Accused
27,11,1693,Accused
28,12,3635,Suspect
29,13,1474,Complainant
30,14,704,Complainant
31,14,2224,Expert Witness
32,14,373,Co-accused
33,15,3616,Witness
34,16,2463,Witness
35,17,1495,Victim
36,18,4147,Victim
37,19,3432,Informant
38,19,3049,Complainant
39,19,1182,Expert Witness
40,19,3943,Witness
41,20,1408,Victim
42,20,4322,Expert Witness
43,20,1303,Expert Witness
44,20,4823,Co-accused
45,21,2559,Victim
46,22,3016,Expert Witness
47,23,771,Witness
48,24,4296,Complainant
49,24,4253,Accused
50,25,4143,Co-accused
51,25,774,Suspect
52,26,1574,Complainant
53,27,4862,Expert Witness
54,27,675,Informant
55,27,3199,Complainant
56,28,2915,Suspect
57,29,860,Victim
58,29,2176,Co-accused
59,29,2410,Accused
60,29,1251,Suspect
61,29,4409,Victim
62,30,4897,Witness
63,30,4236,Witness
64,30,2323,Suspect
65,31,4032,Co-accused
66,32,4610,Victim
67,33,1057,Expert Witness
68,33,111,Accused
69,34,4443,Suspect
70,34,1321,Suspect
71,34,2355,Victim
72,35,2950,Victim
73,35,4175,Expert Witness
74,36,699,Witness
75,36,1115,Informant
76,36,3752,Expert Witness
77,36,4418,Co-accused
78,36,4055,Victim
79,37,1509,Complainant
80,37,4973,Co-accused
81,37,4765,Victim
82,38,2822,Informant
83,38,349,Witness
84,39,2277,Informant
85,39,1735,Informant
86,39,1134,Informant
87,39,2215,Expert Witness
88,40,3361,Accused
89,40,2470,Co-accused
90,40,2640,Informant
91,40,4010,Suspect
92,41,2841,Accused
93,41,4093,Suspect
94,42,2032,Complainant
95,42,2158,Expert Witness
96,42,4606,Witness
97,43,3817,Accused
98,44,1435,Expert Witness
99,44,3872,Suspect
100,45,1499,Informant
101,45,4078,Complainant
102,45,4646,Complainant
103,45,2626,Suspect
104,46,3446,Victim
105,47,1581,Witness
106,47,3334,Complainant
107,47,5000,Witness
108,48,4337,Accused
109,48,3349,Complainant
110,48,1232,Informant
111,49,3574,Complainant
112,49,3936,Informant
113,49,1096,Victim
114,50,2851,Co-accused
115,51,2989,Accused
116,52,2767,Suspect
117,52,3789,Accused
118,52,4981,Complainant
119,53,824,Expert Witness
120,53,4690,Suspect
121,53,1252,Witness
122,54,4179,Co-accused
123,55,4340,Victim
124,55,3738,Accused
125,56,4667,Informant
126,56,4418,Informant
127,57,4011,Accused
128,58,258,Witness
129,59,2070,Witness
130,59,4364,Informant
131,59,3116,Accused
132,60,1498,Co-accused
133,61,3034,Accused
134,61,3596,Victim
135,62,2434,Complainant
136,62,1988,Co-accused
137,63,480,Expert Witness
138,64,2882,Accused
139,64,292,Expert Witness
140,65,818,Expert Witness
141,65,3003,Accused
142,65,82,Victim
143,65,3492,Witness
144,65,490,Complainant
145,66,3472,Expert Witness
146,67,3260,Victim
147,67,4703,Witness
148,67,1014,Informant
149,67,2857,Complainant
150,68,4295,Expert Witness
151,69,4818,Witness
152,69,3268,Victim
153,69,4366,Co-accused
154,69,2834,Suspect
155,70,460,Victim
156,70,4141,Expert Witness
157,70,382,Informant
158,71,2274,Suspect
159,71,1574,Suspect
160,72,4476,Informant
161,73,1477,Informant
162,74,253,Expert Witness
163,75,3575,Suspect
164,75,1237,Expert Witness
165,76,1430,Accused
166,76,952,Accused
167,77,2235,Expert Witness
168,77,309,Complainant
169,78,1229,Accused
170,78,172,Complainant
171,78,2337,Accused
172,79,732,Complainant
173,79,2256,Co-accused
174,79,279,Victim
175,80,2036,Informant
176,80,3308,Informant
177,81,1917,Expert Witness
178,81,2522,Complainant
179,82,3980,Informant
180,83,1611,Victim
181,84,4225,Suspect
182,85,265,Suspect
183,86,628,Accused
184,87,819,Expert Witness
185,88,4681,Accused
186,89,622,Witness
187,90,3783,Accused
188,91,2331,Complainant
189,91,2588,Accused
190,91,1068,Accused
191,92,3317,Co-accused
192,92,2061,Informant
193,92,273,Suspect
194,93,509,Victim
195,94,2684,Expert Witness
196,94,1532,Complainant
197,95,99,Expert Witness
198,95,3542,Accused
199,96,3111,Co-accused
200,97,2904,Victim
201,98,493,Informant
202,98,2889,Victim
203,99,4915,Victim
204,99,2965,Complainant
205,99,3902,Witness
206,100,1061,Expert Witness
207,101,4063,Victim
208,102,4034,Informant
209,102,1060,Suspect
210,102,4103,Co-accused
211,103,2245,Suspect
212,104,4947,Co-accused
213,104,2844,Co-accused
214,105,3,Informant
215,105,520,Complainant
216,105,4310,Complainant
217,105,1858,Informant
218,106,4352,Co-accused
219,107,3916,Accused
220,107,3207,Suspect
221,108,4364,Suspect
222,108,783,Expert Witness
223,109,2827,Suspect
224,110,732,Witness
225,110,1332,Accused
226,111,2829,Suspect
227,112,2306,Informant
228,113,4637,Expert Witness
229,114,161,Expert Witness
230,115,4196,Informant
231,115,2851,Co-accused
232,115,2044,Complainant
233,116,795,Suspect
234,117,1837,Victim
235,117,2402,Suspect
236,117,922,Informant
237,117,1347,Complainant
238,118,3259,Victim
239,118,2261,Expert Witness
240,119,2578,Complainant
241,120,755,Victim
