case_id,fir_id,court_id,start_date,status,verdict
1,1,5,24-12-2022,Transferred,
2,2,6,06-06-2024,Acquitted,Acquitted
3,3,42,28-10-2020,Appeal,Pending
4,4,56,22-10-2024,Trial,Pending
5,5,53,13-10-2023,Investigation,Death Sentence
6,6,52,25-03-2025,Acquitted,Life Imprisonment
7,7,2,19-09-2023,Convicted,Life Imprisonment
8,8,32,08-11-2024,Investigation,Fine Imposed
9,9,39,14-02-2023,Acquitted,Death Sentence
10,10,62,01-06-2024,Acquitted,Suspended Sentence
11,11,58,25-04-2022,Closed,
12,12,67,01-12-2022,Trial,Bail Granted
13,13,45,27-12-2022,Closed,
14,14,62,31-03-2023,Pending,
15,15,21,13-01-2025,Trial,Death Sentence
16,16,33,20-07-2025,Acquitted,
17,17,35,06-01-2025,Investigation,Parole
18,18,69,25-08-2021,Pending,
19,19,27,22-08-2025,Appeal,
20,20,29,23-03-2023,Convicted,Acquitted
21,21,74,08-09-2024,Convicted,Fine Imposed
22,22,10,12-04-2024,Convicted,
23,23,71,31-01-2023,Convicted,Suspended Sentence
24,24,44,27-08-2023,Investigation,Pending
25,25,14,03-04-2022,Closed,Suspended Sentence
26,26,29,10-07-2023,Suspended,
27,27,28,02-09-2023,Convicted,Death Sentence
28,28,73,27-12-2022,Closed,Death Sentence
29,29,10,10-03-2024,Suspended,Life Imprisonment
30,30,47,20-12-2024,Pending,Acquitted
31,31,31,22-03-2025,Transferred,
32,32,62,29-04-2023,Acquitted,Pending
33,33,19,13-10-2024,Convicted,Pending
34,34,42,26-12-2023,Acquitted,
35,35,62,20-09-2024,Appeal,
36,36,48,29-03-2024,Transferred,Bail Granted
37,37,28,19-04-2024,Investigation,Guilty
38,38,67,04-02-2023,Investigation,Acquitted
39,39,30,11-12-2022,Acquitted,Fine Imposed
40,40,28,12-03-2021,Suspended,Pending
41,41,75,04-07-2024,Closed,Case Dismissed
42,42,44,27-10-2023,Closed,
43,43,26,19-11-2024,Trial,Pending
44,44,20,17-08-2025,Acquitted,
45,45,16,17-08-2021,Convicted,
46,46,58,22-09-2024,Convicted,
47,47,45,02-12-2022,Pending,Guilty
48,48,20,19-03-2024,Closed,
49,49,5,21-07-2024,Closed,Parole
50,50,7,30-01-2024,Investigation,Death Sentence
51,51,67,05-06-2023,Suspended,
52,52,59,30-10-2024,Pending,Parole
53,53,11,02-05-2024,Transferred,Community Service
54,54,59,10-01-2025,Transferred,Suspended Sentence
55,55,4,18-01-2025,Transferred,
56,56,19,25-05-2024,Suspended,Pending
57,57,6,06-09-2024,Appeal,Acquitted
58,58,15,04-09-2023,Closed,
59,59,67,08-04-2021,Trial,Compensation Ordered
60,60,25,08-09-2024,Convicted,
61,61,27,16-07-2021,Transferred,Parole
62,62,44,25-09-2023,Pending,Pending
63,63,12,10-09-2024,Closed,
64,64,33,05-12-2020,Trial,Bail Granted
65,65,11,07-02-2024,Pending,
66,66,20,22-08-2024,Transferred,
67,67,60,23-12-2024,Suspended,Case Dismissed
68,68,69,04-12-2020,Closed,Probation
69,69,65,25-03-2023,Suspended,Compensation Ordered
70,70,30,27-03-2024,Suspended,Life Imprisonment
71,71,12,17-01-2023,Appeal,Compensation Ordered
72,72,36,30-06-2023,Suspended,Fine Imposed
73,73,60,06-03-2023,Pending,
74,74,58,04-11-2024,Trial,Life Imprisonment
75,75,6,01-09-2025,Trial,Guilty
76,76,47,09-09-2023,Trial,Life Imprisonment
77,77,5,15-12-2022,Transferred,Parole
78,78,26,08-12-2021,Investigation,Death Sentence
79,79,69,16-05-2021,Appeal,Suspended Sentence
80,80,21,15-10-2022,Appeal,Acquitted
81,81,58,23-08-2024,Investigation,Pending
82,82,56,28-10-2024,Appeal,Acquitted
83,83,23,04-04-2024,Appeal,Compensation Ordered
84,84,59,06-03-2022,Convicted,
85,85,33,07-04-2025,Investigation,
86,86,55,21-04-2024,Acquitted,Pending
87,87,23,13-11-2022,Convicted,Fine Imposed
88,88,73,11-09-2025,Closed,
89,89,35,16-09-2023,Investigation,Community Service
90,90,68,03-03-2024,Pending,Pending
91,91,59,04-02-2023,Pending,Suspended Sentence
92,92,12,03-12-2024,Transferred,Guilty
93,93,7,23-12-2022,Investigation,Guilty
94,94,30,24-01-2022,Investigation,Fine Imposed
95,95,19,06-04-2025,Transferred,Guilty
96,96,59,23-08-2023,Transferred,Probation
97,97,62,27-11-2024,Trial,
98,98,35,04-07-2023,Pending,Death Sentence
99,99,54,21-08-2023,Closed,
100,100,30,18-09-2022,Trial,Pending
101,101,27,10-02-2024,Suspended,
102,102,58,10-04-2024,Trial,Probation
103,103,35,08-05-2025,Suspended,Compensation Ordered
104,104,6,15-07-2023,Transferred,Acquitted
105,105,68,05-02-2025,Closed,Parole
106,106,24,14-05-2025,Investigation,Suspended Sentence
107,107,64,06-05-2024,Transferred,Life Imprisonment
108,108,74,19-04-2024,Convicted,Guilty
109,109,66,07-08-2025,Convicted,Pending
110,110,53,26-11-2023,Trial,
111,111,8,28-07-2025,Convicted,Parole
112,112,45,21-12-2022,Trial,
113,113,4,12-04-2025,Transferred,
114,114,59,27-10-2024,Investigation,Acquitted
115,115,18,21-11-2023,Acquitted,Bail Granted
116,116,58,06-06-2023,Suspended,Parole
117,117,38,02-06-2021,Pending,
118,118,3,09-09-2021,Appeal,Community Service
119,119,51,09-10-2021,Convicted,Guilty
120,120,22,18-01-2023,Convicted,
121,121,65,20-12-2021,Appeal,Fine Imposed
122,122,33,01-06-2025,Transferred,
123,123,66,11-09-2021,Acquitted,Guilty
124,124,41,06-12-2023,Suspended,Probation
125,125,31,21-01-2025,Investigation,Probation
126,126,17,26-09-2022,Suspended,Acquitted
127,127,5,12-06-2023,Transferred,
128,128,24,13-03-2025,Convicted,Pending
129,129,64,06-03-2024,Trial,Death Sentence
130,130,51,14-07-2023,Transferred,Pending
131,131,75,22-04-2023,Investigation,
132,132,15,30-06-2024,Trial,Guilty
133,133,29,10-08-2022,Convicted,
134,134,2,23-09-2021,Convicted,
135,135,46,13-07-2021,Investigation,Bail Granted
136,136,34,08-01-2022,Appeal,Compensation Ordered
137,137,66,14-10-2021,Appeal,Community Service
138,138,17,18-02-2025,Acquitted,Case Dismissed
139,139,67,16-03-2023,Suspended,Pending
140,140,67,03-04-2025,Appeal,Compensation Ordered
141,141,51,12-07-2024,Investigation,Acquitted
142,142,61,10-09-2024,Pending,Case Dismissed
143,143,27,03-01-2025,Transferred,
144,144,53,05-09-2024,Acquitted,Acquitted
145,145,15,03-10-2024,Investigation,Parole
146,146,64,21-04-2025,Transferred,Guilty
147,147,40,13-07-2023,Trial,Case Dismissed
148,148,35,21-01-2024,Suspended,
149,149,26,15-08-2025,Appeal,Life Imprisonment
150,150,3,23-06-2024,Acquitted,Case Dismissed
151,151,63,17-10-2023,Trial,Probation
152,152,6,28-01-2024,Acquitted,Bail Granted
153,153,12,07-08-2023,Trial,Case Dismissed
154,154,73,26-05-2022,Acquitted,
155,155,62,16-02-2024,Convicted,Pending
156,156,21,09-01-2024,Trial,Acquitted
157,157,50,07-12-2023,Appeal,Life Imprisonment
158,158,44,22-09-2023,Convicted,Case Dismissed
159,159,24,08-01-2025,Investigation,Parole
160,160,45,17-07-2021,Appeal,Compensation Ordered
161,161,5,26-12-2024,Investigation,
162,162,66,25-03-2025,Pending,Community Service
163,163,70,01-12-2022,Trial,
164,164,15,15-04-2025,Investigation,Compensation Ordered
165,165,12,04-09-2024,Trial,Suspended Sentence
166,166,67,29-05-2024,Trial,Death Sentence
167,167,31,21-05-2025,Closed,Pending
168,168,45,12-04-2023,Pending,Fine Imposed
169,169,6,14-01-2023,Trial,Compensation Ordered
170,170,26,11-09-2023,Trial,Pending
171,171,35,25-08-2025,Investigation,Parole
172,172,31,26-09-2023,Pending,
173,173,72,18-07-2022,Closed,
174,174,25,12-09-2024,Acquitted,Parole
175,175,48,31-03-2023,Trial,Life Imprisonment
176,176,73,24-05-2025,Transferred,Suspended Sentence
177,177,33,14-11-2024,Transferred,
178,178,65,12-03-2021,Suspended,
179,179,13,20-11-2023,Investigation,Compensation Ordered
180,180,48,08-05-2024,Pending,Fine Imposed
181,181,63,23-06-2024,Pending,
182,182,30,22-05-2022,Acquitted,Pending
183,183,30,02-07-2025,Acquitted,Acquitted
184,184,1,27-12-2021,Closed,Suspended Sentence
185,185,18,27-11-2020,Closed,
186,186,37,05-08-2022,Trial,
187,187,33,21-03-2024,Acquitted,Pending
188,188,68,31-10-2024,Investigation,
189,189,70,17-03-2024,Transferred,Death Sentence
190,190,56,14-12-2022,Convicted,Suspended Sentence
191,191,2,31-03-2024,Suspended,Case Dismissed
192,192,5,13-02-2024,Convicted,Fine Imposed
193,193,68,28-01-2023,Closed,Compensation Ordered
194,194,56,12-01-2024,Closed,Guilty
195,195,62,11-10-2022,Appeal,Bail Granted
196,196,41,08-05-2024,Transferred,Parole
197,197,2,18-03-2021,Convicted,Life Imprisonment
198,198,19,13-07-2024,Transferred,Pending
199,199,57,04-06-2023,Transferred,
200,200,30,17-09-2024,Suspended,Community Service
201,201,72,26-06-2021,Trial,Compensation Ordered
202,202,54,05-11-2020,Convicted,Life Imprisonment
203,203,54,19-06-2023,Appeal,
204,204,27,13-10-2020,Transferred,
205,205,45,26-09-2023,Closed,
206,206,44,10-03-2025,Appeal,Acquitted
207,207,32,26-05-2022,Pending,Guilty
208,208,22,01-03-2025,Investigation,Suspended Sentence
209,209,63,02-03-2025,Pending,Parole
210,210,4,11-05-2024,Trial,Guilty
211,211,71,10-01-2021,Convicted,Fine Imposed
212,212,3,16-12-2021,Pending,Fine Imposed
213,213,63,16-02-2024,Transferred,Bail Granted
214,214,73,29-03-2021,Pending,Compensation Ordered
215,215,24,28-08-2024,Acquitted,Bail Granted
216,216,47,27-03-2025,Trial,Fine Imposed
217,217,38,24-06-2024,Appeal,Compensation Ordered
218,218,64,25-12-2024,Convicted,Bail Granted
219,219,12,18-12-2023,Suspended,
220,220,1,23-12-2021,Suspended,Fine Imposed
221,221,10,28-05-2023,Transferred,Guilty
222,222,72,09-01-2024,Appeal,Community Service
223,223,10,16-04-2025,Trial,Case Dismissed
224,224,73,29-01-2024,Closed,Suspended Sentence
225,225,22,22-09-2025,Transferred,Death Sentence
226,226,22,04-12-2022,Closed,Death Sentence
227,227,53,04-01-2022,Closed,Compensation Ordered
228,228,2,02-12-2022,Trial,Acquitted
229,229,59,22-08-2022,Suspended,Community Service
230,230,20,31-12-2022,Closed,Fine Imposed
231,231,69,20-04-2023,Pending,Fine Imposed
232,232,67,29-04-2024,Transferred,
233,233,22,19-01-2022,Suspended,Compensation Ordered
234,234,14,13-10-2021,Suspended,Parole
235,235,73,27-12-2021,Closed,Life Imprisonment
236,236,44,20-04-2022,Closed,Acquitted
237,237,51,01-02-2023,Trial,Suspended Sentence
238,238,12,30-04-2025,Trial,Acquitted
239,239,44,21-07-2022,Investigation,Pending
240,240,60,18-07-2023,Investigation,Suspended Sentence
241,241,11,28-02-2023,Transferred,Compensation Ordered
242,242,66,14-12-2021,Acquitted,Bail Granted
243,243,13,13-03-2025,Investigation,Community Service
244,244,2,11-09-2024,Acquitted,Life Imprisonment
245,245,32,01-06-2024,Suspended,Parole
246,246,29,26-06-2025,Pending,
247,247,45,06-11-2023,Convicted,Probation
248,248,63,04-05-2021,Transferred,
249,249,26,20-02-2024,Pending,Death Sentence
250,250,43,18-05-2025,Closed,Guilty
251,251,64,08-06-2023,Transferred,Death Sentence
252,252,29,20-12-2020,Acquitted,Compensation Ordered
253,253,33,27-07-2025,Investigation,Case Dismissed
254,254,57,12-05-2024,Trial,Fine Imposed
255,255,37,12-10-2021,Transferred,Bail Granted
256,256,61,02-03-2024,Investigation,Suspended Sentence
257,257,11,16-03-2025,Investigation,Fine Imposed
258,258,62,26-11-2022,Investigation,Fine Imposed
259,259,18,15-09-2022,Appeal,
260,260,11,07-08-2024,Investigation,Bail Granted
261,261,1,09-04-2021,Convicted,
262,262,42,20-12-2023,Transferred,Parole
263,263,29,28-05-2023,Suspended,
264,264,51,23-05-2025,Investigation,Suspended Sentence
265,265,22,17-11-2023,Investigation,Fine Imposed
266,266,11,22-10-2022,Pending,Bail Granted
267,267,41,19-05-2025,Suspended,Suspended Sentence
268,268,60,17-12-2024,Suspended,Case Dismissed
269,269,60,14-05-2025,Convicted,Fine Imposed
270,270,61,13-01-2023,Trial,Compensation Ordered
271,271,29,28-09-2025,Convicted,Case Dismissed
272,272,19,16-10-2023,Appeal,Death Sentence
273,273,35,13-11-2020,Appeal,Fine Imposed
274,274,37,21-04-2023,Investigation,Death Sentence
275,275,10,01-03-2025,Investigation,Fine Imposed
276,276,15,19-11-2022,Convicted,Pending
277,277,67,17-02-2021,Investigation,Life Imprisonment
278,278,51,04-12-2024,Closed,
279,279,65,30-09-2024,Convicted,
280,280,57,16-07-2024,Pending,Community Service
281,281,38,14-09-2025,Pending,
