fir_id,station_id,date_registered,crime_type,incident_location,status,details
1,76,2022-11-12 20:06:28,Criminal Breach of Trust,"628, DLF Phase, Meerut - 308931",Closed - Untraced,"Counterfeiting case with fake currency notes worth Rs. 898,792 seized."
2,126,2024-05-18 10:30:55,Dowry Death,"869, Salt Lake, Lucknow - 179853",Charge Sheet Filed,Human trafficking case involving 12 victims rescued from illegal operations.
3,66,2020-10-21 14:04:51,Murder,"658, Ballygunge, Mumbai - 820390",Charge Sheet Filed,"Vehicle theft case with registration number DL-41-AA-6669, CCTV footage available."
4,114,2024-09-01 07:59:14,Child Abuse,"204, Porur, Ahmedabad - 623886",Registered,"Burglary at commercial establishment during night hours, property worth Rs. 3,827,501 stolen."
5,75,2023-10-06 05:00:52,Vehicle Theft,"520, DLF Phase, Shimla - 175734",Under Investigation,"Vehicle theft case with registration number KA-27-AA-8216, CCTV footage available."
6,41,2025-03-05 05:21:02,Money Laundering,"778, Jayanagar, Kochi - 872455",Pending Investigation,"Domestic violence incident reported by victim's family, ongoing harassment documented."
7,44,2023-09-16 15:16:38,Tax Evasion,"834, Banashankari, Patna - 688413",Pending Investigation,"Insurance fraud case with fraudulent claims worth Rs. 2,373,192."
8,69,2024-10-05 23:33:01,Chain Snatching,"231, Whitefield, Chandigarh - 530847",Closed - Final Report,"Burglary at commercial establishment during night hours, property worth Rs. 815,548 stolen."
9,6,2023-02-01 08:59:42,Illegal Construction,"876, Dwarka, Gwalior - 210948",Under Investigation,"Tax evasion case with undisclosed income of Rs. 242,630 detected."
10,14,2024-05-20 08:30:36,Cyberstalking,"238, Nehru Place, Pune - 825421",Registered,Arms trafficking case with recovery of 51 illegal firearms and ammunition.
11,71,2022-04-02 12:21:43,Land Grabbing,"773, JP Nagar, Kochi - 408042",Under Investigation,"Counterfeiting case with fake currency notes worth Rs. 3,183,918 seized."
12,68,2022-10-20 17:06:34,Robbery,"198, Connaught Place, Chandigarh - 723077",Pending Investigation,"Insurance fraud case with fraudulent claims worth Rs. 1,300,591."
13,94,2022-11-13 04:25:38,Ransomware Attack,"726, Bandra, Kochi - 562587",Under Investigation,"Domestic violence incident reported by victim's family, ongoing harassment documented."
14,103,2023-02-26 14:20:09,Criminal Breach of Trust,"855, MG Road Gurgaon, Shimla - 170314",Pending Investigation,"Money laundering investigation with suspicious transactions totaling Rs. 2,057,698."
15,94,2024-12-28 01:33:41,Wildlife Crime,"355, HSR Layout, Nagpur - 729238",Closed - Untraced,Environmental crime case involving illegal dumping of 78 tons of waste.
16,85,2025-07-05 06:43:55,Honor Killing,"461, Rajarhat, Madurai - 138736",Under Investigation,"Tax evasion case with undisclosed income of Rs. 344,295 detected."
17,116,2024-12-03 03:49:59,Theft,"680, HSR Layout, Ujjain - 363002",Registered,"Money laundering investigation with suspicious transactions totaling Rs. 3,953,836."
18,128,2021-08-24 13:39:40,Forgery,"912, JP Nagar, Bangalore - 596817",Closed - Final Report,"Vehicle theft case with registration number GJ-68-AD-2119, CCTV footage available."
19,26,2025-08-08 14:11:14,Identity Theft,"254, Palace Road, Chennai - 224482",Registered,"Burglary at commercial establishment during night hours, property worth Rs. 4,523,311 stolen."
20,123,2023-02-20 17:09:53,Ransomware Attack,"601, New Town, Ahmedabad - 274322",Charge Sheet Filed,Land grabbing case involving 13 acres of disputed property.
21,90,2024-08-22 11:12:29,Online Harassment,"233, Jayanagar, Udaipur - 933410",Under Investigation,"Cyber crime involving online fraud and identity theft, 3,832,966 transferred illegally."
22,32,2024-03-13 08:35:45,Fraud,"278, Velachery, Nashik - 102377",Registered,Robbery incident reported with 2 suspects involved using weapons.
23,109,2022-12-28 14:49:38,Land Grabbing,"163, Laxmi Nagar, Ghaziabad - 649512",Closed - Final Report,"Vehicle theft case with registration number GJ-94-AC-6005, CCTV footage available."
24,125,2023-08-08 11:07:51,Honor Killing,"942, Sector 18, Kochi - 823155",Pending Investigation,Cyberstalking case with digital evidence including 49 pieces of documentation.
25,63,2022-02-14 02:58:03,Cyberstalking,"331, HSR Layout, Srinagar - 881039",Closed - Final Report,"Domestic violence incident reported by victim's family, ongoing harassment documented."
26,103,2023-05-13 15:18:59,Dowry Death,"718, Whitefield, Vadodara - 164244",Pending Investigation,Human trafficking case involving 14 victims rescued from illegal operations.
27,127,2023-08-05 15:49:00,Bank Fraud,"114, Banashankari, Coimbatore - 703617",Closed - Final Report,Environmental crime case involving illegal dumping of 98 tons of waste.
28,118,2022-11-24 22:18:13,Illegal Construction,"561, Golf Course Road, Pune - 610742",Closed - Final Report,Cyberstalking case with digital evidence including 20 pieces of documentation.
29,102,2024-01-25 18:04:20,Illegal Construction,"317, Dadar, Ludhiana - 605930",Pending Investigation,"Money laundering investigation with suspicious transactions totaling Rs. 3,520,982."
30,112,2024-12-15 22:58:06,Money Laundering,"728, OMR, Jodhpur - 467968",Registered,"Vehicle theft case with registration number KA-13-AD-4709, CCTV footage available."
